keyword,image,color1,color2,color3
pretty,childlike,22,151,36
casual,festive,22,151,46
dynamic,lively,22,151,106
dynamic,hot,22,54,46
dynamic,vigorous,22,46,115
dynamic,bold,22,151,142
dynamic,forceful,23,142,22
dynamic,dynamic,22,142,46
dynamic,dynamic and active,82,22,142
gorgeous,rich,35,23,47
gorgeous,mature,23,25,138
gorgeous,alluring,23,136,138
ethnic,untamed,43,23,44
gorgeous,glossy,23,47,120
gorgeous,fascinating,126,23,124
gorgeous,abundant,35,23,78
gorgeous,luxurious,23,47,141
gorgeous,mellow,44,23,128
pretty,sweet,24,26,37
casual,cheerful,24,37,49
pretty,childlike,24,50,97
casual,joyful,132,49,24
casual,bright,24,151,46
casual,merry,24,49,72
casual,festive,22,151,24
casual,colorful,48,24,120
gorgeous,brilliant,131,24,119
pretty,sweet,25,50,37
pretty,pretty,49,25,38
natural,sunny,25,38,27
natural,generous,28,25,50
pretty,childlike,25,49,73
romantic,sweet and dreamy,25,38,133
natural,sweet-sour,25,61,48
pretty,cute,25,49,97
elegant,feminine,25,38,123
romantic,agreeable to the touch,27,26,25
romantic,amiable,39,26,51
romantic,innocent,26,151,74
natural,smooth,26,27,28
natural,gentle,26,123,51
romantic,supple,26,149,74
romantic,sweet and dreamy,133,26,121
romantic,soft,133,26,122
romantic,charming,133,26,98
romantic,agreeable to the touch,39,26,27
romantic,supple,27,123,38
romantic,soft,27,151,63
natural,smooth,40,27,26
romantic,amiable,38,27,148
elegant,tender,27,38,121
natural,gentle and elegant,28,27,29
natural,mild,27,28,42
natural,gentle,27,125,123
natural,pleasant,28,51,40
natural,mild,38,39,28
elegant,tender,26,28,137
natural,domestic,37,28,39
natural,generous,28,39,42
elegant,emotional,36,50,28
casual,casual,27,28,29
natural,gentle and elegant,28,135,125
natural,gentle and elegant,28,39,29
elegant,calm,29,149,65
elegant,sedate,110,148,29
natural,nostalgic,27,29,30
chic,japanese,29,39,53
elegant,elegant,123,29,125
gorgeous,mellow,31,29,127
elegant,sleek,138,29,135
elegant,emotional,29,123,137
casual,delicious,23,35,30
natural,pleasant,30,40,51
natural,nostalgic,30,39,54
gorgeous,mature,47,140,30
elegant,interesting,127,30,65
dandy,diligent,30,116,66
gorgeous,alluring,126,30,31
gorgeous,mellow,30,31,128
classic,tasteful,41,68,30
gorgeous,extravagant,31,47,31
gorgeous,mellow,31,41,128
ethnic,ethnic,31,126,54
gorgeous,rich,31,47,68
gorgeous,luxurious,47,31,142
classic,elaborate,31,128,90
ethnic,robust,142,31,32
dynamic,dynamic and active,31,142,35
ethnic,untamed,31,142,80
ethnic,ethnic,32,55,126
classic,elaborate,54,32,119
gorgeous,mellow,32,30,127
classic,traditional,42,32,45
gorgeous,substantial,65,32,142
classic,heavy and deep,32,44,142
classic,old-fashioned,33,146,32
ethnic,untamed,68,32,69
dynamic,dynamic and active,22,46,33
dandy,placid,56,41,33
dandy,quiet and sophisticated,33,56,146
ethnic,wild,22,33,47
classic,old-fashioned,33,146,32
formal,dignified,33,146,104
ethnic,untamed,55,31,33
dandy,serious,33,44,129
dandy,strong and robust,33,145,117
casual,dazzling,22,34,48
casual,delicious,34,42,37
casual,casual,34,49,84
casual,flamboyant,34,130,46
gorgeous,abundant,34,52,23
casual,enjoyable,34,46,96
dynamic,forceful,22,34,142
casual,tropical,130,34,79
dynamic,lively,34,151,106
gorgeous,aromatic,35,37,43
casual,bright,22,151,35
